ID,Male,Female,Age,Cost,Siblings/Spouses,Parents/Children
1006,0,1,63.0,221.7792,1,0
1007,1,0,18.0,14.4542,1,0
1008,1,0,40.0,6.4375,0,0
1009,0,1,1.0,16.7,1,1
1010,1,0,36.0,75.2417,0,0
1011,0,1,29.0,26.0,1,0
1012,0,1,12.0,15.75,0,0
1013,1,0,27.0,7.75,1,0
1014,0,1,35.0,57.75,1,0
1015,1,0,28.0,7.25,0,0
1016,1,0,15.0,7.75,0,0
1017,0,1,17.0,16.1,0,1
1018,1,0,22.0,7.7958,0,0
1019,0,1,30.0,23.25,2,0
1020,1,0,42.0,13.0,0,0
1021,1,0,24.0,8.05,0,0
1022,1,0,32.0,8.05,0,0
1023,1,0,53.0,28.5,0,0
1024,0,1,50.0,25.4667,0,4
1025,1,0,15.0,6.4375,1,0
1026,1,0,43.0,7.8958,0,0
1027,1,0,24.0,7.8542,0,0
1028,1,0,26.5,7.225,0,0
1029,1,0,26.0,13.0,0,0
1030,0,1,23.0,8.05,0,0
1031,1,0,40.0,46.9,1,6
1032,0,1,10.0,46.9,5,2
1033,0,1,33.0,151.55,0,0
1034,1,0,61.0,262.375,1,3
1035,1,0,28.0,26.0,0,0
1036,1,0,42.0,26.55,0,0
1037,1,0,31.0,18.0,3,0
1038,1,0,14.0,51.8625,0,0
1039,1,0,22.0,8.05,0,0
1040,1,0,30.0,26.55,0,0
1041,1,0,30.0,26.0,1,1
1042,0,1,23.0,83.1583,0,1
1043,1,0,44.0,7.8958,0,0
1044,1,0,60.5,14.4542,0,0
1045,0,1,36.0,12.1833,0,2
1046,1,0,13.0,31.3875,4,2
1047,1,0,24.0,7.55,0,0
1048,0,1,29.0,221.7792,0,0
1049,0,1,23.0,7.8542,0,0
1050,1,0,42.0,26.55,0,0
1051,0,1,26.0,13.775,0,2
1052,0,1,37.0,7.7333,0,0
1053,1,0,7.0,15.2458,1,1
1054,0,1,26.0,13.5,0,0
1055,1,0,37.0,7.0,0,0
1056,1,0,41.0,13.0,0,0
1057,0,1,26.0,22.025,1,1
1058,1,0,48.0,50.4958,0,0
1059,1,0,18.0,34.375,2,2
1060,0,1,53.0,27.7208,0,0
1061,0,1,22.0,8.9625,0,0
1062,1,0,37.0,7.55,0,0
1063,1,0,27.0,7.225,0,0
1064,1,0,23.0,13.9,1,0
1065,1,0,33.0,7.2292,0,0
1066,1,0,40.0,31.3875,1,5
1067,0,1,15.0,39.0,0,2
1068,0,1,20.0,36.75,0,0
1069,1,0,54.0,55.4417,1,0
1070,0,1,36.0,39.0,0,3
1071,0,1,64.0,83.1583,0,2
1072,1,0,30.0,13.0,0,0
1073,1,0,37.0,83.1583,1,1
1074,0,1,18.0,53.1,1,0
1075,1,0,60.0,7.75,0,0
1076,0,1,27.0,247.5208,1,1
1077,1,0,40.0,16.0,0,0
1078,0,1,21.0,21.0,0,1
1079,1,0,17.0,8.05,2,0
1080,0,1,35.0,69.55,8,2
1081,1,0,40.0,13.0,0,0
1082,1,0,34.0,26.0,1,0
1083,1,0,44.0,26.0,0,0
1084,1,0,11.5,14.5,1,1
1085,1,0,61.0,12.35,0,0
1086,1,0,8.0,32.5,0,2
1087,1,0,33.0,7.8542,0,0
1088,1,0,6.0,134.5,0,2
1089,0,1,18.0,7.775,0,0
1090,1,0,23.0,10.5,0,0
1091,0,1,45.0,8.1125,0,0
1092,0,1,27.0,15.5,0,0
1093,1,0,0.33,14.4,0,2
1094,1,0,47.0,227.525,1,0
1095,0,1,8.0,26.0,1,1
1096,1,0,25.0,10.5,0,0
1097,1,0,52.0,25.7417,0,0
1098,0,1,35.0,7.75,0,0
1099,1,0,24.0,10.5,0,0
1100,0,1,33.0,27.7208,0,0
1101,1,0,25.0,7.8958,0,0
1102,1,0,32.0,22.525,0,0
1103,1,0,12.0,7.05,0,0
1104,1,0,17.0,73.5,0,0
1105,0,1,60.0,26.0,1,0
1106,0,1,38.0,7.775,4,2
1107,1,0,42.0,42.5,0,0
1108,0,1,33.0,7.8792,0,0
1109,1,0,57.0,164.8667,1,1
1110,0,1,50.0,211.5,1,1
1111,1,0,13.0,8.05,0,0
1112,0,1,30.0,13.8583,1,0
1113,1,0,21.0,8.05,0,0
1114,0,1,22.0,10.5,0,0
1115,1,0,21.0,7.7958,0,0
1116,0,1,53.0,27.4458,0,0
1117,0,1,56.0,15.2458,0,2
1118,1,0,23.0,7.7958,0,0
1119,0,1,12.0,7.75,0,0
1120,1,0,40.5,15.1,0,0
1121,1,0,36.0,13.0,0,0
1122,1,0,14.0,65.0,0,0
1123,0,1,21.0,26.55,0,0
1124,1,0,21.0,6.4958,1,0
1125,1,0,26.0,7.8792,0,0
1126,1,0,39.0,71.2833,1,0
1127,1,0,20.0,7.8542,0,0
1128,1,0,64.0,75.25,1,0
1129,1,0,20.0,7.225,0,0
1130,0,1,18.0,13.0,1,1
1131,0,1,48.0,106.425,1,0
1132,0,1,55.0,27.7208,0,0
1133,0,1,45.0,30.0,0,2
1134,1,0,45.0,134.5,1,1
1135,1,0,36.0,7.8875,0,0
1136,1,0,5.0,23.45,1,2
1137,1,0,41.0,51.8625,1,0
1138,0,1,22.0,21.0,0,0
1139,1,0,42.0,32.5,1,1
1140,0,1,29.0,26.0,1,0
1141,0,1,14.0,14.4542,1,0
1142,0,1,0.92,27.75,1,2
1143,1,0,20.0,7.925,0,0
1144,1,0,27.0,136.7792,1,0
1145,1,0,24.0,9.325,0,0
1146,1,0,32.5,9.5,0,0
1147,1,0,31.0,7.55,0,0
1148,1,0,60.0,7.75,0,0
1149,1,0,28.0,8.05,0,0
1150,0,1,19.0,13.0,0,0
1151,1,0,21.0,7.775,0,0
1152,1,0,36.5,17.4,1,0
1153,1,0,21.0,7.8542,0,0
1154,0,1,29.0,23.0,0,2
1155,0,1,1.0,12.1833,1,1
1156,1,0,30.0,12.7375,0,0
1157,1,0,54.0,7.8958,0,0
1158,1,0,16.0,0.0,0,0
1159,1,0,19.0,7.55,0,0
1160,0,1,10.0,8.05,0,0
1161,1,0,17.0,8.6625,0,0
1162,1,0,46.0,75.2417,0,0
1163,1,0,43.0,7.75,0,0
1164,0,1,26.0,136.7792,1,0
1165,0,1,35.0,15.5,1,0
1166,1,0,27.0,7.225,0,0
1167,0,1,20.0,26.0,1,0
1168,1,0,28.0,10.5,0,0
1169,1,0,40.0,26.0,1,0
1170,1,0,30.0,21.0,1,0
1171,1,0,22.0,10.5,0,0
1172,0,1,23.0,8.6625,0,0
1173,1,0,0.75,13.775,1,1
1174,0,1,4.0,7.75,0,0
1175,0,1,9.0,15.2458,1,1
1176,0,1,2.0,20.2125,1,1
1177,1,0,36.0,7.25,0,0
1178,1,0,30.0,7.25,0,0
1179,1,0,24.0,82.2667,1,0
1180,1,0,18.0,7.2292,0,0
1181,1,0,44.0,8.05,0,0
1182,1,0,46.0,39.6,0,0
1183,0,1,30.0,6.95,0,0
1184,1,0,50.0,7.2292,0,0
1185,1,0,53.0,81.8583,1,1
1186,1,0,36.0,9.5,0,0
1187,1,0,26.0,7.8958,0,0
1188,0,1,1.0,41.5792,1,2
1189,1,0,14.0,21.6792,2,0
1190,1,0,30.0,45.5,0,0
1191,1,0,29.0,7.8542,0,0
1192,1,0,32.0,7.775,0,0
1193,1,0,13.0,15.0458,0,0
1194,1,0,43.0,21.0,0,1
1195,1,0,24.0,8.6625,0,0
1196,0,1,2.0,7.75,0,0
1197,0,1,64.0,26.55,1,1
1198,1,0,30.0,151.55,1,2
1199,1,0,0.83,9.35,0,1
1200,1,0,55.0,93.5,1,1
1201,0,1,45.0,14.1083,1,0
1202,1,0,18.0,8.6625,0,0
1203,1,0,22.0,7.225,0,0
1204,1,0,24.0,7.575,0,0
1205,0,1,37.0,7.75,0,0
1206,0,1,55.0,135.6333,0,0
1207,0,1,17.0,7.7333,0,0
1208,1,0,57.0,146.5208,1,0
1209,1,0,19.0,10.5,0,0
1210,1,0,27.0,7.8542,0,0
1211,1,0,22.0,31.5,2,0
1212,1,0,26.0,7.775,0,0
1213,1,0,25.0,7.2292,0,0
1214,1,0,26.0,13.0,0,0
1215,1,0,33.0,26.55,0,0
1216,0,1,39.0,211.3375,0,0
1217,1,0,23.0,7.05,0,0
1218,0,1,12.0,39.0,2,1
1219,1,0,46.0,79.2,0,0
1220,1,0,29.0,26.0,1,0
1221,1,0,21.0,13.0,0,0
1222,0,1,48.0,36.75,0,2
1223,1,0,39.0,29.7,0,0
1224,1,0,15.0,7.225,0,0
1225,0,1,19.0,15.7417,1,1
1226,1,0,27.0,7.8958,0,0
1227,1,0,30.0,26.0,0,0
1228,1,0,32.0,13.0,0,0
1229,1,0,39.0,7.2292,0,2
1230,1,0,25.0,31.5,0,0
1231,1,0,3.0,7.2292,0,0
1232,1,0,18.0,10.5,0,0
1233,1,0,32.0,7.5792,0,0
1234,1,0,20.0,69.55,1,9
1235,0,1,58.0,512.3292,0,1
1236,1,0,9.0,14.5,1,1
1237,0,1,16.0,7.65,0,0
1238,1,0,26.0,13.0,0,0
1239,0,1,38.0,7.2292,0,0
1240,1,0,24.0,13.5,0,0
1241,0,1,31.0,21.0,0,0
1242,0,1,45.0,63.3583,0,1
1243,1,0,25.0,10.5,0,0
1244,1,0,18.0,73.5,0,0
1245,1,0,49.0,65.0,1,2
1246,0,1,0.17,20.575,1,2
1247,1,0,50.0,26.0,0,0
1248,0,1,59.0,51.4792,2,0
1249,1,0,11.0,7.8792,0,0
1250,1,0,47.0,7.75,0,0
1251,0,1,30.0,15.55,1,0
1252,1,0,14.5,69.55,8,2
1253,0,1,24.0,37.0042,1,1
1254,0,1,31.0,21.0,0,0
1255,1,0,27.0,8.6625,0,0
1256,0,1,25.0,55.4417,1,0
1257,0,1,30.0,69.55,1,9
1258,1,0,35.0,14.4583,1,0
1259,0,1,22.0,39.6875,0,0
1260,0,1,45.0,59.4,0,1
1261,1,0,29.0,13.8583,0,0
1262,1,0,21.0,11.5,1,0
1263,0,1,31.0,134.5,0,0
1264,1,0,49.0,0.0,0,0
1265,1,0,44.0,13.0,0,0
1266,0,1,54.0,81.8583,1,1
1267,0,1,45.0,262.375,0,0
1268,0,1,22.0,8.6625,2,0
1269,1,0,21.0,11.5,0,0
1270,1,0,55.0,50.0,0,0
1271,1,0,5.0,31.3875,4,2
1272,1,0,28.0,7.75,0,0
1273,1,0,26.0,7.8792,0,0
1274,0,1,21.0,14.5,0,0
1275,0,1,19.0,16.1,1,0
1276,1,0,31.0,12.875,0,0
1277,0,1,24.0,65.0,1,2
1278,1,0,24.0,7.775,0,0
1279,1,0,57.0,13.0,0,0
1280,1,0,21.0,7.75,0,0
1281,1,0,6.0,21.075,3,1
1282,1,0,23.0,93.5,0,0
1283,0,1,51.0,39.4,0,1
1284,1,0,13.0,20.25,0,2
1285,1,0,47.0,10.5,0,0
1286,1,0,29.0,22.025,3,1
1287,0,1,18.0,60.0,1,0
1288,1,0,24.0,7.25,0,0
1289,0,1,48.0,79.2,1,1
1290,1,0,22.0,7.775,0,0
1291,1,0,31.0,7.7333,0,0
1292,0,1,30.0,164.8667,0,0
1293,1,0,38.0,21.0,1,0
1294,0,1,22.0,59.4,0,1
1295,1,0,17.0,47.1,0,0
1296,1,0,43.0,27.7208,1,0
1297,1,0,20.0,13.8625,0,0
1298,1,0,23.0,10.5,1,0
1299,1,0,50.0,211.5,1,1
1300,0,1,7.0,7.7208,0,0
1301,0,1,3.0,13.775,1,1
1302,0,1,2.0,7.75,0,0
1303,0,1,37.0,90.0,1,0
1304,0,1,28.0,7.775,0,0
1305,1,0,58.0,8.05,0,0
1306,0,1,39.0,108.9,0,0
1307,1,0,38.5,7.25,0,0
1308,1,0,37.0,8.05,0,0
1309,1,0,6.0,22.3583,1,1
